,host_acceptance_rate,host_is_superhost,host_identity_verified,latitude,bathrooms,price,has_availability,instant_bookable,Private room,within a day,within a few hours,kitchen,Breakfast,Nespresso machine,TV,security_cameras,Wifi,hot_water,log_min_nights,log_max_nights,log_nreviews,log_accommo
7686,100.0,1,1,37.974070000000005,1.0,90.0,1,1,0,0,0,1,0,0,1,0,1,1,0.4054651081081644,7.025982660346787,3.9415818076696905,0.9162907318741551
7687,100.0,1,1,37.97311,1.0,68.0,1,1,0,0,0,0,0,0,1,0,1,1,0.4054651081081644,7.025982660346787,2.8622008809294686,1.252762968495368
7688,100.0,0,0,37.98853,1.5,350.0,1,0,0,0,0,1,0,0,1,0,1,1,0.4054651081081644,3.0204248861443626,-0.6931471805599453,1.7047480922384253
7689,100.0,0,1,37.98732,1.0,21.0,1,1,0,0,0,1,0,0,1,0,1,1,0.9162907318741551,3.2386784521643803,3.5115454388310208,1.252762968495368
7690,100.0,0,1,37.9872,1.0,21.0,1,1,0,0,0,1,0,0,0,0,1,1,0.9162907318741551,3.2386784521643803,3.068052935133617,0.9162907318741551
7691,80.0,0,1,37.98617,1.0,50.0,1,1,0,0,0,1,0,0,1,0,1,1,0.4054651081081644,7.025982660346787,0.4054651081081644,1.5040773967762742
7692,100.0,0,1,37.96071,1.0,23.0,1,0,1,0,0,1,0,0,1,0,1,1,0.9162907318741551,5.705447753975262,1.252762968495368,0.9162907318741551
7693,50.0,0,1,37.9868,2.0,34.0,1,0,0,0,1,1,0,0,1,0,1,0,4.505349850705881,7.025982660346787,-0.6931471805599453,1.5040773967762742
7694,100.0,0,1,37.98351,1.0,39.0,1,1,0,0,0,1,0,0,1,0,1,1,0.4054651081081644,6.215607598755275,3.8815637979434374,1.252762968495368
7695,100.0,0,1,37.98351,1.0,35.0,1,1,0,0,0,1,0,0,1,0,0,1,0.4054651081081644,6.215607598755275,3.8815637979434374,1.252762968495368
7696,100.0,0,1,37.95723,1.0,52.0,1,1,0,0,0,1,0,0,1,0,1,0,0.4054651081081644,7.025982660346787,1.252762968495368,1.5040773967762742
7697,100.0,0,1,37.98351,1.0,35.0,1,1,0,0,0,1,0,0,1,0,1,1,0.4054651081081644,6.215607598755275,3.8815637979434374,1.252762968495368
7698,100.0,0,0,37.99648,1.5,50.0,1,1,0,0,0,1,0,0,1,0,1,0,0.9162907318741551,5.07829394257007,-0.6931471805599453,1.7047480922384253
7699,100.0,1,1,37.9679,1.0,96.0,1,1,0,0,0,1,0,1,1,0,1,1,0.4054651081081644,4.505349850705881,2.803360380906535,1.5040773967762742
7700,100.0,0,1,37.98152,1.0,38.0,1,1,0,0,0,1,0,0,0,0,1,1,1.252762968495368,4.61015772749913,2.3513752571634776,1.7047480922384253
